qwen3b_base         _HumanEval 0.7024390243902439	0.030218321203326504	[0.6890243902439024, 0.6951219512195121, 0.7073170731707317, 0.7560975609756098, 0.6646341463414634]
qwen7b_base         _HumanEval 0.7207317073170733	0.035218363605350377	[0.6951219512195121, 0.7012195121951219, 0.75, 0.6829268292682927, 0.774390243902439]
llama8b_base        _HumanEval 0.5865853658536585	0.026550659825703923	[0.6158536585365854, 0.5487804878048781, 0.6036585365853658, 0.6036585365853658, 0.5609756097560976]

------ before omni math and pubmedqa dataset change -----
llama8b	numina	0.34025974025974026	0.01576523599966343	[0.36463536 0.34865135 0.33966034 0.32967033 0.31868132]
llama8b	medmcqa	0.514085914085914	0.07542450926553984	[0.58641359 0.6013986  0.52247752 0.45654346 0.4035964 ]
llama8b	aime	0.0	0.0	[0. 0. 0. 0. 0.]
llama8b	pubmedqa	0.0035000000000000005	0.0029999999999999996	[0.     0.     0.005  0.005  0.0075]
llama8b	alpaca	0.2729270729270729	0.02071957935773572	[0.31168831 0.26273726 0.25574426 0.27672328 0.25774226]

qwen3b	numina	0.4829170829170829	0.004836650724040052	[0.47752248 0.48051948 0.48451548 0.49150849 0.48051948]
qwen3b	medmcqa	0.395004995004995	0.04026159939981461	[0.46253746 0.34665335 0.36963037 0.38161838 0.41458541]
qwen3b	aime	0.026666666666666665	0.024944382578492942	[0.         0.06666667 0.03333333 0.         0.03333333]
qwen3b	pubmedqa	0.001	0.002	[0.    0.    0.005 0.    0.   ]
qwen3b	alpaca	0.4131868131868132	0.009636088353076928	[0.42757243 0.41558442 0.4045954  0.41758242 0.4005994 ]



------ after omni math and pubmedqa dataset change -----

qwen3b	numina	0.46693306693306696	0.004836650724040039	[0.46653347 0.47452547 0.46853147 0.46553447 0.45954046]
qwen3b	medmcqa	0.38921078921078917	0.03433774395035497	[0.44455544 0.34065934 0.37062937 0.38961039 0.4005994 ]
qwen3b	aime	0.04	0.024944382578492942	[0.03333333 0.06666667 0.06666667 0.         0.03333333]
qwen3b	omnimath	0.1492	0.005528109984434107	[0.143 0.153 0.157 0.15  0.143]
qwen3b	pubmedqa	0.4715	0.0971931067514564	[0.6625 0.41   0.455  0.4025 0.4275]
qwen3b	alpaca	0.41618381618381617	0.004998999401876857	[0.42557443 0.41558442 0.41458541 0.41458541 0.41058941]
